Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688319812304,-376952,4322
1688319813309,-213867,4322
1688319814321,-213867,4322
1688319815335,-140624,4322
1688319816350,-226074,4322
1688319817366,-226074,4322
1688319818381,-129882,4322
1688319819391,-115234,4322
1688319820401,-115234,4322
1688319821415,-191406,4322
1688319822426,-123046,4322
1688319823442,-123046,4322
1688319824458,-120605,4322
1688319825467,-204101,4322
1688319826475,-204101,4322
1688319827492,-215331,4322
1688319828502,-135742,4322
1688319829511,-201660,4322
1688319830523,-201660,4322
1688319831531,-132812,4322
1688319832539,-115722,4322
1688319833554,-115722,4322
1688319834566,-191894,4322
1688319835582,-127929,4322
1688319836598,-127929,4322
1688319837610,-127441,4322
1688319838622,-202636,4322
1688319839635,-202636,4322
1688319840653,-121093,4322
1688319841678,-145507,4322
1688319842687,-145507,4322
1688319843695,-203124,4322
1688319844704,-129882,4322
1688319845713,-129882,4322
1688319846721,-129882,4322
1688319847733,-118164,4322
1688319848743,-122558,4322
1688319849764,-122558,4322
1688319850785,-198242,4322
1688319851843,-130859,4322
1688319852850,-130859,4322
1688319853865,-211425,4322
1688319854882,-139648,4322
1688319855890,-139648,4322
1688319856903,-156738,4322
1688319857923,-190429,4322
1688319858936,-129882,4322
1688319859952,-129882,4322
1688319860960,-200683,4322
1688319861975,-157714,4322
1688319862988,-157714,4322
1688319864001,-123046,4322
1688319865015,-181640,4322
1688319866023,-181640,4322
1688319867032,-132324,4322
1688319868048,-117187,4322
1688319869069,-117187,4322
1688319870083,-129882,4322
1688319871099,-127929,4322
1688319872115,-127929,4322
