Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688419026090,-281249,4220
1688419027094,-210937,4220
1688419028110,-210937,4220
1688419029119,-136718,4220
1688419030127,-178222,4220
1688419031144,-178222,4220
1688419032152,-123535,4220
1688419033167,-206542,4220
1688419034175,-206542,4220
1688419035185,-175781,4220
1688419036194,-137206,4220
1688419037206,-154296,4220
1688419038219,-154296,4220
1688419039227,-193359,4220
1688419040240,-136718,4220
1688419041253,-136718,4220
1688419042266,-131835,4220
1688419043282,-208007,4220
1688419044295,-208007,4220
1688419045304,-127441,4220
1688419046313,-130371,4220
1688419047327,-130371,4220
1688419048336,-217773,4220
1688419049349,-142089,4220
1688419050363,-142089,4220
1688419051374,-187988,4220
1688419052389,-141601,4220
1688419053404,-119628,4220
1688419054425,-119628,4220
1688419055450,-140136,4220
1688419056466,-129394,4220
1688419057481,-129394,4220
1688419058495,-132812,4220
1688419059504,-178222,4220
1688419060521,-178222,4220
1688419061531,-140624,4220
1688419062541,-123046,4220
1688419063550,-123046,4220
1688419064564,-218261,4220
1688419065578,-129394,4220
1688419066600,-129394,4220
1688419067617,-132324,4220
1688419068640,-196288,4220
1688419069654,-133300,4220
1688419070668,-133300,4220
1688419071679,-135253,4220
1688419072689,-147949,4220
1688419073703,-147949,4220
1688419074715,-216308,4220
1688419075723,-120117,4220
1688419076738,-120117,4220
1688419077751,-128417,4220
1688419078764,-208495,4220
1688419079776,-208495,4220
1688419080785,-129882,4220
1688419081794,-137206,4220
1688419082809,-137206,4220
1688419083821,-205566,4220
1688419084840,-154296,4220
1688419085851,-173339,4220
