Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689279041451,-943847,3693
1689279041458,-943847,3693
1689279041462,-943847,3693
1689279041464,-943847,3693
1689279041467,-943847,3693
1689279041471,-943847,3693
1689279041475,-943847,3693
1689279041478,-943847,3693
1689279041481,-943847,3693
1689279041485,-943847,3693
1689279041488,-943847,3693
1689279041491,-943847,3693
1689279041494,-943847,3693
1689279041497,-943847,3693
1689279041500,-943847,3693
1689279041503,-943847,3693
1689279041507,-943847,3693
1689279041511,-943847,3693
1689279041515,-943847,3693
1689279041518,-943847,3693
1689279041520,-943847,3693
1689279041524,-943847,3693
1689279041527,-943847,3693
1689279041530,-943847,3693
1689279041533,-943847,3693
1689279041536,-943847,3693
1689279041539,-943847,3693
1689279041542,-943847,3693
1689279041545,-943847,3693
1689279041548,-943847,3693
1689279041552,-943847,3693
1689279041556,-943847,3693
1689279041560,-943847,3693
1689279041565,-943847,3693
1689279041568,-943847,3693
1689279041572,-943847,3693
1689279041575,-943847,3693
1689279041578,-943847,3693
1689279041581,-943847,3693
1689279041584,-943847,3693
1689279041586,-943847,3693
1689279041590,-943847,3693
1689279041593,-943847,3693
1689279041596,-943847,3693
1689279041599,-943847,3693
1689279041602,-943847,3693
1689279041605,-943847,3693
1689279041608,-943847,3693
1689279041611,-943847,3693
1689279041614,-943847,3693
1689279041617,-943847,3693
1689279041620,-943847,3693
1689279041623,-943847,3693
1689279041626,-943847,3693
1689279041629,-943847,3693
1689279041632,-943847,3693
1689279041636,-943847,3693
1689279041645,-943847,3693
1689279041649,-943847,3693
1689279041652,-943847,3693
1689279041655,-943847,3693
1689279041658,-943847,3693
1689279041662,-943847,3693
1689279041664,-943847,3693
1689279041667,-943847,3693
1689279041672,-943847,3693
1689279041675,-943847,3693
1689279041679,-943847,3693
1689279041683,-943847,3693
1689279041686,-943847,3693
1689279041689,-943847,3693
1689279041693,-943847,3693
1689279041696,-943847,3693
1689279041700,-943847,3693
1689279041704,-943847,3693
1689279041707,-943847,3693
1689279041712,-943847,3693
1689279041717,-943847,3693
1689279041722,-943847,3693
1689279041727,-943847,3693
1689279041731,-943847,3693
1689279041735,-943847,3693
1689279041739,-943847,3693
1689279041741,-943847,3693
1689279041744,-943847,3693
1689279041748,-943847,3693
1689279041752,-943847,3693
