Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688987544569,212812,4069
1688987544571,212812,4069
1688987544574,212812,4069
1688987544576,212812,4069
1688987544579,212812,4069
1688987544581,212812,4069
1688987544585,212812,4069
1688987544587,212812,4069
1688987544590,212812,4069
1688987544594,212812,4069
1688987544596,212812,4069
1688987544599,212812,4069
1688987544601,212812,4069
1688987544603,212812,4069
1688987544605,212812,4069
1688987544607,212812,4069
1688987544609,212812,4069
1688987544611,212812,4069
1688987544613,212812,4069
1688987544615,212812,4069
1688987544617,212812,4069
1688987544619,212812,4069
1688987544621,212812,4069
1688987544623,212812,4069
1688987544625,212812,4069
1688987544626,212812,4069
1688987544628,212812,4069
1688987544630,212812,4069
1688987544632,212812,4069
1688987544634,212812,4069
1688987544635,212812,4069
1688987544638,212812,4069
1688987544639,212812,4069
1688987544641,212812,4069
1688987544643,212812,4069
1688987544645,212812,4069
1688987544647,212812,4069
1688987544649,212812,4069
1688987544652,212812,4069
1688987544655,212812,4069
1688987544657,212812,4069
1688987544660,212812,4069
1688987544662,212812,4069
1688987544665,212812,4069
1688987544667,212812,4069
1688987544670,212812,4069
1688987544672,212812,4069
1688987544674,212812,4069
1688987544675,212812,4069
1688987544677,212812,4069
1688987544678,212812,4069
1688987544680,212812,4069
1688987544682,212812,4069
1688987544684,212812,4069
1688987544685,212812,4069
1688987544686,212812,4069
1688987544688,212812,4069
1688987544689,212812,4069
1688987544690,212812,4069
1688987544692,212812,4069
1688987544693,212812,4069
1688987544694,212812,4069
1688987544696,212812,4069
1688987544697,212812,4069
1688987544698,212812,4069
1688987544700,212812,4069
1688987544701,212812,4069
1688987544702,212812,4069
1688987544704,212812,4069
1688987544706,212812,4069
1688987544707,212812,4069
1688987544709,212812,4069
1688987544710,212812,4069
1688987544711,212812,4069
1688987544713,212812,4069
1688987544715,212812,4069
1688987544716,212812,4069
1688987544718,212812,4069
1688987544720,212812,4069
1688987544722,212812,4069
1688987544723,212812,4069
1688987544725,212812,4069
1688987544727,212812,4069
1688987544729,265625,4069
1688987544730,265625,4069
1688987544732,265625,4069
1688987544734,265625,4069
1688987544736,265625,4069
1688987544738,265625,4069
1688987544740,265625,4069
1688987544743,265625,4069
1688987544745,265625,4069
1688987544747,265625,4069
1688987544749,265625,4069
1688987544752,265625,4069
1688987544754,265625,4069
1688987544756,265625,4069
1688987544758,265625,4069
1688987544760,265625,4069
1688987544762,265625,4069
1688987544764,265625,4069
1688987544767,265625,4069
1688987544769,265625,4069
1688987544771,265625,4069
1688987544774,265625,4069
1688987544776,265625,4069
1688987544779,265625,4069
1688987544781,265625,4069
1688987544784,265625,4069
1688987544786,265625,4069
1688987544789,265625,4069
1688987544792,265625,4069
1688987544795,265625,4069
1688987544798,265625,4069
1688987544801,265625,4069
1688987544805,265625,4069
1688987544808,265625,4069
1688987544812,265625,4069
1688987544815,265625,4069
1688987544818,265625,4069
1688987544822,265625,4069
1688987544825,265625,4069
1688987544828,265625,4069
1688987544832,265625,4069
1688987544834,265625,4069
1688987544835,265625,4069
1688987544837,265625,4069
1688987544839,265625,4069
1688987544840,265625,4069
1688987544842,265625,4069
1688987544843,265625,4069
1688987544845,265625,4069
1688987544846,265625,4069
1688987544847,265625,4069
1688987544849,265625,4069
1688987544850,265625,4069
1688987544852,265625,4069
1688987544854,265625,4069
1688987544855,265625,4069
1688987544857,265625,4069
1688987544858,265625,4069
1688987544860,265625,4069
1688987544862,265625,4069
1688987544864,265625,4069
1688987544865,265625,4069
1688987544867,265625,4069
1688987544869,265625,4069
1688987544871,265625,4069
1688987544873,265625,4069
1688987544875,265625,4069
1688987544878,265625,4069
1688987544880,265625,4069
1688987544883,265625,4069
1688987544886,265625,4069
1688987544888,265625,4069
1688987544891,265625,4069
1688987544894,265625,4069
1688987544896,265625,4069
1688987544899,265625,4069
1688987544902,265625,4069
1688987544905,265625,4069
1688987544909,265625,4069
1688987544912,265625,4069
1688987544915,265625,4069
1688987544918,265625,4069
1688987544921,265625,4069
1688987544924,265625,4069
1688987544927,265625,4069
1688987544930,265625,4069
1688987544933,265625,4069
1688987544938,265625,4069
1688987544942,265625,4069
1688987544947,265625,4069
1688987544950,265625,4069
1688987544955,265625,4069
1688987544959,265625,4069
1688987544963,265625,4069
1688987544966,265625,4069
1688987544969,265625,4069
1688987544973,265625,4069
1688987544976,265625,4069
1688987544979,265625,4069
1688987544982,265625,4069
1688987544985,265625,4069
1688987544988,265625,4069
1688987544992,265625,4069
1688987544995,265625,4069
1688987544998,265625,4069
1688987545001,265625,4069
1688987545004,265625,4069
1688987545007,265625,4069
1688987545010,265625,4069
1688987545013,265625,4069
1688987545018,265625,4069
1688987545021,265625,4069
1688987545024,265625,4069
1688987545027,265625,4069
1688987545030,265625,4069
1688987545034,265625,4069
1688987545037,265625,4069
1688987545040,265625,4069
1688987545044,265625,4069
1688987545049,265625,4069
1688987545053,265625,4069
1688987545057,265625,4069
1688987545060,265625,4069
1688987545064,265625,4069
1688987545068,265625,4069
1688987545071,265625,4069
1688987545074,265625,4069
1688987545077,124062,4069
1688987545080,124062,4069
1688987545083,124062,4069
1688987545086,124062,4069
1688987545090,124062,4069
1688987545093,124062,4069
1688987545096,124062,4069
1688987545099,124062,4069
1688987545102,124062,4069
1688987545106,124062,4069
1688987545109,124062,4069
1688987545113,124062,4069
1688987545116,124062,4069
1688987545119,124062,4069
1688987545123,124062,4069
1688987545126,124062,4069
1688987545129,124062,4069
1688987545132,124062,4069
1688987545135,124062,4069
1688987545138,124062,4069
1688987545141,124062,4069
1688987545145,124062,4069
1688987545148,124062,4069
1688987545150,124062,4069
1688987545154,124062,4069
1688987545158,124062,4069
1688987545161,124062,4069
1688987545164,124062,4069
1688987545167,124062,4069
1688987545170,124062,4069
1688987545174,124062,4069
1688987545177,124062,4069
1688987545180,124062,4069
1688987545184,124062,4069
1688987545187,124062,4069
1688987545191,124062,4069
1688987545195,124062,4069
1688987545198,124062,4069
1688987545201,124062,4069
1688987545204,124062,4069
1688987545207,124062,4069
1688987545213,124062,4069
1688987545216,124062,4069
1688987545219,124062,4069
1688987545222,124062,4069
1688987545226,124062,4069
1688987545229,124062,4069
1688987545233,124062,4069
1688987545236,124062,4069
1688987545239,124062,4069
1688987545243,124062,4069
1688987545246,124062,4069
1688987545250,124062,4069
1688987545253,124062,4069
1688987545256,124062,4069
1688987545260,124062,4069
1688987545263,124062,4069
1688987545267,124062,4069
1688987545270,124062,4069
1688987545279,124062,4069
1688987545282,124062,4069
1688987545285,124062,4069
1688987545288,124062,4069
1688987545291,124062,4069
1688987545294,124062,4069
1688987545297,124062,4069
1688987545300,124062,4069
1688987545303,124062,4069
1688987545306,124062,4069
1688987545309,124062,4069
1688987545313,124062,4069
1688987545318,124062,4069
1688987545321,124062,4069
1688987545323,124062,4069
1688987545327,124062,4069
1688987545330,124062,4069
1688987545333,124062,4069
1688987545336,124062,4069
1688987545340,124062,4069
1688987545345,124062,4069
1688987545348,124062,4069
1688987545350,124062,4069
1688987545354,124062,4069
1688987545358,124062,4069
1688987545362,124062,4069
1688987545365,124062,4069
1688987545369,124062,4069
1688987545373,124062,4069
1688987545377,124062,4069
1688987545380,124062,4069
1688987545383,124062,4069
1688987545386,124062,4069
1688987545390,124062,4069
1688987545393,124062,4069
1688987545396,124062,4069
1688987545399,124062,4069
1688987545402,124062,4069
1688987545405,124062,4069
1688987545408,124062,4069
1688987545411,124062,4069
1688987545414,124062,4069
1688987545417,124062,4069
1688987545421,124062,4069
1688987545425,124062,4069
1688987545428,143750,4069
1688987545431,143750,4069
1688987545435,143750,4069
1688987545438,143750,4069
1688987545441,143750,4069
1688987545445,143750,4069
1688987545448,143750,4069
1688987545451,143750,4069
1688987545454,143750,4069
1688987545457,143750,4069
1688987545460,143750,4069
1688987545465,143750,4069
1688987545468,143750,4069
1688987545471,143750,4069
1688987545474,143750,4069
1688987545477,143750,4069
1688987545480,143750,4069
1688987545484,143750,4069
1688987545487,143750,4069
1688987545490,143750,4069
