Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689119868920,243437,4067
1689119868922,243437,4067
1689119868927,243437,4067
1689119868932,243437,4067
1689119868934,243437,4067
1689119868936,243437,4067
1689119868938,243437,4067
1689119868940,243437,4067
1689119868942,243437,4067
1689119868943,243437,4067
1689119868945,243437,4067
1689119868947,243437,4067
1689119868948,243437,4067
1689119868950,243437,4067
1689119868952,243437,4067
1689119868953,243437,4067
1689119868957,243437,4067
1689119868958,243437,4067
1689119868960,243437,4067
1689119868962,243437,4067
1689119868963,243437,4067
1689119868965,243437,4067
1689119868966,243437,4067
1689119868967,243437,4067
1689119868969,243437,4067
1689119868971,243437,4067
1689119868973,243437,4067
1689119868974,243437,4067
1689119868976,243437,4067
1689119868977,243437,4067
1689119868979,243437,4067
1689119868983,243437,4067
1689119868987,243437,4067
1689119868990,243437,4067
1689119868992,243437,4067
1689119868993,243437,4067
1689119868995,243437,4067
1689119868998,243437,4067
1689119868999,243437,4067
1689119869001,243437,4067
1689119869004,243437,4067
1689119869005,243437,4067
1689119869006,243437,4067
1689119869008,243437,4067
1689119869010,243437,4067
1689119869011,243437,4067
1689119869013,243437,4067
1689119869014,243437,4067
1689119869015,243437,4067
1689119869017,243437,4067
1689119869018,243437,4067
1689119869020,243437,4067
1689119869021,243437,4067
1689119869023,243437,4067
1689119869024,243437,4067
1689119869025,243437,4067
1689119869027,243437,4067
1689119869028,243437,4067
1689119869030,243437,4067
1689119869031,243437,4067
1689119869033,243437,4067
1689119869034,243437,4067
1689119869036,243437,4067
1689119869038,243437,4067
1689119869040,243437,4067
1689119869042,243437,4067
1689119869044,243437,4067
1689119869046,243437,4067
1689119869047,243437,4067
1689119869049,243437,4067
1689119869052,243437,4067
1689119869054,243437,4067
1689119869055,243437,4067
1689119869058,243437,4067
1689119869060,243437,4067
1689119869062,243437,4067
1689119869065,243437,4067
1689119869067,243437,4067
1689119869069,243437,4067
1689119869072,243437,4067
1689119869074,243437,4067
1689119869076,243437,4067
1689119869078,243437,4067
1689119869081,243437,4067
1689119869083,243437,4067
1689119869085,243437,4067
1689119869087,243437,4067
1689119869090,243437,4067
1689119869092,243437,4067
1689119869095,243437,4067
1689119869097,243437,4067
1689119869100,243437,4067
1689119869103,243437,4067
1689119869105,243437,4067
1689119869108,243437,4067
1689119869110,243437,4067
1689119869114,243437,4067
1689119869116,243437,4067
1689119869120,243437,4067
1689119869123,243437,4067
1689119869127,243437,4067
1689119869130,243437,4067
1689119869133,243437,4067
1689119869137,243437,4067
1689119869140,243437,4067
1689119869143,226875,4067
1689119869145,226875,4067
1689119869149,226875,4067
1689119869152,226875,4067
1689119869155,226875,4067
1689119869158,226875,4067
1689119869161,226875,4067
1689119869163,226875,4067
1689119869166,226875,4067
1689119869168,226875,4067
1689119869171,226875,4067
1689119869173,226875,4067
1689119869176,226875,4067
1689119869179,226875,4067
1689119869182,226875,4067
1689119869185,226875,4067
1689119869188,226875,4067
1689119869191,226875,4067
1689119869194,226875,4067
1689119869197,226875,4067
1689119869201,226875,4067
1689119869204,226875,4067
1689119869207,226875,4067
1689119869210,226875,4067
1689119869213,226875,4067
1689119869216,226875,4067
1689119869219,226875,4067
1689119869223,226875,4067
1689119869226,226875,4067
1689119869229,226875,4067
1689119869233,226875,4067
1689119869236,226875,4067
1689119869239,226875,4067
1689119869242,226875,4067
1689119869245,226875,4067
1689119869248,226875,4067
1689119869251,226875,4067
1689119869255,226875,4067
1689119869259,226875,4067
1689119869262,226875,4067
1689119869265,226875,4067
1689119869268,226875,4067
1689119869272,226875,4067
1689119869275,226875,4067
1689119869278,226875,4067
1689119869281,226875,4067
1689119869285,226875,4067
1689119869288,226875,4067
1689119869291,226875,4067
1689119869294,226875,4067
1689119869297,226875,4067
1689119869302,226875,4067
1689119869305,226875,4067
1689119869308,226875,4067
1689119869311,226875,4067
1689119869314,226875,4067
1689119869318,226875,4067
1689119869321,226875,4067
1689119869324,226875,4067
1689119869327,226875,4067
1689119869330,226875,4067
1689119869334,226875,4067
1689119869338,226875,4067
1689119869342,226875,4067
1689119869345,226875,4067
1689119869349,226875,4067
1689119869353,226875,4067
1689119869357,226875,4067
1689119869360,226875,4067
1689119869363,226875,4067
1689119869367,226875,4067
1689119869370,226875,4067
1689119869374,226875,4067
1689119869378,226875,4067
1689119869381,226875,4067
1689119869385,226875,4067
1689119869388,226875,4067
1689119869392,226875,4067
1689119869395,226875,4067
1689119869399,226875,4067
1689119869402,226875,4067
1689119869405,226875,4067
1689119869409,226875,4067
1689119869412,226875,4067
1689119869416,226875,4067
1689119869421,226875,4067
1689119869424,226875,4067
1689119869427,226875,4067
1689119869430,226875,4067
1689119869434,226875,4067
1689119869438,226875,4067
1689119869441,226875,4067
1689119869444,226875,4067
1689119869447,226875,4067
1689119869451,226875,4067
1689119869455,226875,4067
1689119869458,226875,4067
1689119869462,226875,4067
1689119869465,226875,4067
1689119869468,226875,4067
1689119869472,226875,4067
1689119869475,226875,4067
1689119869478,226875,4067
1689119869483,226875,4067
1689119869486,164687,4067
1689119869490,164687,4067
1689119869493,164687,4067
1689119869497,164687,4067
1689119869500,164687,4067
1689119869503,164687,4067
1689119869507,164687,4067
1689119869510,164687,4067
1689119869513,164687,4067
1689119869516,164687,4067
1689119869519,164687,4067
1689119869523,164687,4067
1689119869527,164687,4067
1689119869530,164687,4067
1689119869533,164687,4067
1689119869538,164687,4067
1689119869542,164687,4067
1689119869545,164687,4067
1689119869549,164687,4067
1689119869552,164687,4067
1689119869556,164687,4067
1689119869559,164687,4067
1689119869562,164687,4067
1689119869565,164687,4067
1689119869568,164687,4067
1689119869571,164687,4067
1689119869575,164687,4067
1689119869580,164687,4067
1689119869583,164687,4067
1689119869586,164687,4067
1689119869590,164687,4067
1689119869594,164687,4067
1689119869599,164687,4067
1689119869602,164687,4067
1689119869606,164687,4067
1689119869610,164687,4067
1689119869613,164687,4067
1689119869617,164687,4067
1689119869621,164687,4067
1689119869625,164687,4067
1689119869629,164687,4067
1689119869633,164687,4067
1689119869636,164687,4067
1689119869642,164687,4067
1689119869646,164687,4067
1689119869649,164687,4067
1689119869652,164687,4067
1689119869655,164687,4067
1689119869659,164687,4067
1689119869663,164687,4067
1689119869666,164687,4067
1689119869669,164687,4067
1689119869672,164687,4067
1689119869675,164687,4067
1689119869679,164687,4067
1689119869682,164687,4067
1689119869685,164687,4067
1689119869688,164687,4067
1689119869691,164687,4067
1689119869695,164687,4067
1689119869699,164687,4067
1689119869702,164687,4067
1689119869705,164687,4067
1689119869709,164687,4067
1689119869712,164687,4067
1689119869715,164687,4067
1689119869720,164687,4067
1689119869723,164687,4067
1689119869726,164687,4067
1689119869729,164687,4067
1689119869733,164687,4067
1689119869736,164687,4067
1689119869739,164687,4067
1689119869742,164687,4067
1689119869746,164687,4067
1689119869749,164687,4067
1689119869752,164687,4067
1689119869755,164687,4067
1689119869758,164687,4067
1689119869761,164687,4067
1689119869764,164687,4067
1689119869767,164687,4067
1689119869772,164687,4067
1689119869775,164687,4067
1689119869779,164687,4067
1689119869782,164687,4067
1689119869785,164687,4067
1689119869788,164687,4067
1689119869791,164687,4067
1689119869794,164687,4067
1689119869797,164687,4067
1689119869801,164687,4067
1689119869804,164687,4067
1689119869809,164687,4067
1689119869813,164687,4067
1689119869818,164687,4067
1689119869823,164687,4067
1689119869826,164687,4067
1689119869829,164687,4067
1689119869832,164687,4067
1689119869835,164687,4067
1689119869838,164687,4067
1689119869841,139375,4067
1689119869845,139375,4067
1689119869848,139375,4067
1689119869851,139375,4067
1689119869855,139375,4067
1689119869860,139375,4067
1689119869864,139375,4067
1689119869868,139375,4067
1689119869871,139375,4067
1689119869874,139375,4067
1689119869877,139375,4067
1689119869881,139375,4067
1689119869884,139375,4067
1689119869887,139375,4067
1689119869890,139375,4067
1689119869893,139375,4067
1689119869896,139375,4067
1689119869899,139375,4067
1689119869903,139375,4067
1689119869906,139375,4067
1689119869909,139375,4067
1689119869912,139375,4067
1689119869915,139375,4067
1689119869918,139375,4067
1689119869921,139375,4067
1689119869925,139375,4067
1689119869928,139375,4067
1689119869931,139375,4067
1689119869936,139375,4067
1689119869939,139375,4067
1689119869942,139375,4067
1689119869945,139375,4067
1689119869949,139375,4067
1689119869951,139375,4067
1689119869954,139375,4067
1689119869958,139375,4067
1689119869962,139375,4067
1689119869965,139375,4067
1689119869969,139375,4067
1689119869972,139375,4067
1689119869976,139375,4067
1689119869979,139375,4067
1689119869981,139375,4067
1689119869985,139375,4067
1689119869988,139375,4067
1689119869991,139375,4067
1689119869994,139375,4067
1689119869997,139375,4067
1689119870001,139375,4067
1689119870004,139375,4067
1689119870007,139375,4067
1689119870011,139375,4067
1689119870015,139375,4067
1689119870019,139375,4067
1689119870022,139375,4067
1689119870025,139375,4067
1689119870028,139375,4067
1689119870031,139375,4067
1689119870035,139375,4067
1689119870039,139375,4067
