Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688556659019,495312,4081
1688556659033,495312,4081
1688556659049,495312,4081
1688556659064,495312,4081
1688556659078,495312,4081
1688556659091,495312,4081
1688556659106,495312,4081
1688556659120,495312,4081
1688556659135,495312,4081
1688556659148,495312,4081
1688556659160,495312,4081
1688556659172,495312,4081
1688556659184,495312,4081
1688556659197,495312,4081
1688556659210,495312,4081
1688556659222,495312,4081
1688556659235,495312,4081
1688556659247,495312,4081
1688556659259,495312,4081
1688556659272,495312,4081
1688556659284,251875,4081
1688556659296,251875,4081
1688556659309,251875,4081
1688556659321,251875,4081
1688556659333,251875,4081
1688556659345,251875,4081
1688556659358,251875,4081
1688556659371,251875,4081
1688556659384,251875,4081
1688556659397,251875,4081
1688556659410,251875,4081
1688556659424,251875,4081
1688556659437,251875,4081
1688556659451,251875,4081
1688556659465,251875,4081
1688556659479,251875,4081
1688556659492,251875,4081
1688556659507,251875,4081
1688556659523,251875,4081
1688556659539,251875,4081
1688556659555,251875,4081
1688556659572,251875,4081
1688556659586,251875,4081
1688556659600,251875,4081
1688556659615,251875,4081
1688556659631,109687,4081
1688556659646,109687,4081
1688556659662,109687,4081
1688556659678,109687,4081
1688556659694,109687,4081
1688556659708,109687,4081
1688556659723,109687,4081
1688556659738,109687,4081
1688556659753,109687,4081
1688556659769,109687,4081
1688556659784,109687,4081
1688556659799,109687,4081
1688556659814,109687,4081
1688556659829,109687,4081
1688556659844,109687,4081
1688556659860,109687,4081
1688556659877,109687,4081
1688556659892,109687,4081
1688556659907,109687,4081
1688556659922,109687,4081
1688556659937,109687,4081
1688556659953,109687,4081
1688556659968,109687,4081
1688556659984,104687,4081
1688556659998,104687,4081
1688556660013,104687,4081
1688556660029,104687,4081
1688556660043,104687,4081
1688556660056,104687,4081
1688556660069,104687,4081
1688556660082,104687,4081
1688556660096,104687,4081
1688556660109,104687,4081
1688556660124,104687,4081
1688556660140,104687,4081
1688556660157,104687,4081
1688556660173,104687,4081
1688556660188,104687,4081
1688556660203,104687,4081
1688556660217,104687,4081
1688556660233,104687,4081
1688556660250,104687,4081
1688556660266,104687,4081
1688556660282,104687,4081
1688556660297,104687,4081
1688556660311,104687,4081
1688556660325,104687,4081
1688556660339,198437,4081
1688556660353,198437,4081
1688556660367,198437,4081
1688556660382,198437,4081
1688556660395,198437,4081
1688556660410,198437,4081
1688556660424,198437,4081
1688556660438,198437,4081
1688556660452,198437,4081
1688556660466,198437,4081
1688556660480,198437,4081
1688556660494,198437,4081
1688556660509,198437,4081
1688556660523,198437,4081
1688556660537,198437,4081
1688556660553,198437,4081
1688556660570,198437,4081
1688556660585,198437,4081
1688556660601,198437,4081
1688556660616,198437,4081
1688556660635,198437,4081
1688556660658,198437,4081
1688556660687,112812,4081
1688556660714,112812,4081
1688556660740,112812,4081
1688556660768,112812,4081
1688556660794,112812,4081
1688556660818,112812,4081
1688556660846,112812,4081
1688556660864,112812,4081
1688556660880,112812,4081
1688556660896,112812,4081
1688556660911,112812,4081
1688556660926,112812,4081
1688556660940,112812,4081
1688556660954,112812,4081
1688556660969,112812,4081
1688556660985,112812,4081
1688556661000,112812,4081
1688556661014,112812,4081
1688556661028,168125,4081
1688556661044,168125,4081
1688556661059,168125,4081
1688556661074,168125,4081
1688556661090,168125,4081
1688556661106,168125,4081
1688556661121,168125,4081
1688556661137,168125,4081
1688556661153,168125,4081
1688556661169,168125,4081
1688556661183,168125,4081
1688556661200,168125,4081
1688556661215,168125,4081
1688556661231,168125,4081
1688556661247,168125,4081
1688556661263,168125,4081
1688556661280,168125,4081
1688556661297,168125,4081
1688556661313,168125,4081
1688556661330,168125,4081
1688556661344,168125,4081
1688556661360,168125,4081
1688556661373,168125,4081
1688556661386,172812,4081
1688556661400,172812,4081
1688556661414,172812,4081
1688556661428,172812,4081
1688556661443,172812,4081
1688556661458,172812,4081
1688556661473,172812,4081
1688556661489,172812,4081
1688556661504,172812,4081
1688556661520,172812,4081
1688556661537,172812,4081
1688556661552,172812,4081
1688556661568,172812,4081
1688556661584,172812,4081
1688556661600,172812,4081
1688556661616,172812,4081
1688556661630,172812,4081
