Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688580218097,380000,3997
1688580218110,380000,3997
1688580218124,380000,3997
1688580218137,380000,3997
1688580218152,380000,3997
1688580218165,380000,3997
1688580218177,380000,3997
1688580218192,380000,3997
1688580218206,380000,3997
1688580218219,380000,3997
1688580218232,380000,3997
1688580218245,380000,3997
1688580218257,380000,3997
1688580218269,380000,3997
1688580218282,380000,3997
1688580218295,264375,3997
1688580218307,264375,3997
1688580218319,264375,3997
1688580218332,264375,3997
1688580218344,264375,3997
1688580218356,264375,3997
1688580218370,264375,3997
1688580218383,264375,3997
1688580218395,264375,3997
1688580218408,264375,3997
1688580218420,264375,3997
1688580218433,264375,3997
1688580218446,264375,3997
1688580218458,264375,3997
1688580218470,264375,3997
1688580218483,264375,3997
1688580218495,264375,3997
1688580218508,264375,3997
1688580218520,264375,3997
1688580218533,264375,3997
1688580218545,264375,3997
1688580218558,264375,3997
1688580218571,264375,3997
1688580218584,264375,3997
1688580218597,264375,3997
1688580218610,264375,3997
1688580218625,264375,3997
1688580218638,264375,3997
1688580218652,127812,3997
1688580218671,127812,3997
1688580218689,127812,3997
1688580218705,127812,3997
1688580218721,127812,3997
1688580218738,127812,3997
1688580218756,127812,3997
1688580218771,127812,3997
1688580218788,127812,3997
1688580218804,127812,3997
1688580218820,127812,3997
1688580218835,127812,3997
1688580218851,127812,3997
1688580218868,127812,3997
1688580218882,127812,3997
1688580218897,127812,3997
1688580218913,127812,3997
1688580218929,127812,3997
1688580218945,127812,3997
1688580218960,127812,3997
1688580218976,127812,3997
1688580218992,131875,3997
1688580219007,131875,3997
1688580219023,131875,3997
1688580219039,131875,3997
1688580219055,131875,3997
1688580219071,131875,3997
1688580219087,131875,3997
1688580219102,131875,3997
1688580219117,131875,3997
1688580219133,131875,3997
1688580219147,131875,3997
1688580219164,131875,3997
1688580219180,131875,3997
1688580219194,131875,3997
1688580219209,131875,3997
1688580219225,131875,3997
1688580219241,131875,3997
1688580219257,131875,3997
1688580219272,131875,3997
1688580219288,131875,3997
1688580219302,131875,3997
1688580219316,131875,3997
1688580219330,131875,3997
1688580219344,170312,3997
1688580219359,170312,3997
1688580219373,170312,3997
1688580219387,170312,3997
1688580219402,170312,3997
1688580219415,170312,3997
1688580219429,170312,3997
1688580219444,170312,3997
1688580219458,170312,3997
1688580219472,170312,3997
1688580219486,170312,3997
1688580219500,170312,3997
1688580219515,170312,3997
1688580219529,170312,3997
1688580219543,170312,3997
1688580219561,170312,3997
1688580219576,170312,3997
1688580219593,170312,3997
1688580219608,170312,3997
1688580219625,170312,3997
1688580219641,170312,3997
1688580219658,170312,3997
1688580219673,170312,3997
1688580219689,170312,3997
1688580219703,119375,3997
1688580219717,119375,3997
1688580219735,119375,3997
1688580219750,119375,3997
1688580219767,119375,3997
1688580219782,119375,3997
1688580219799,119375,3997
1688580219813,119375,3997
1688580219827,119375,3997
1688580219843,119375,3997
1688580219858,119375,3997
1688580219874,119375,3997
1688580219890,119375,3997
1688580219905,119375,3997
1688580219920,119375,3997
1688580219934,119375,3997
1688580219949,119375,3997
1688580219964,119375,3997
1688580219980,119375,3997
1688580219995,119375,3997
1688580220010,119375,3997
1688580220024,119375,3997
1688580220039,143437,3997
1688580220055,143437,3997
1688580220071,143437,3997
1688580220087,143437,3997
1688580220104,143437,3997
1688580220119,143437,3997
1688580220133,143437,3997
1688580220148,143437,3997
1688580220166,143437,3997
1688580220181,143437,3997
1688580220196,143437,3997
1688580220212,143437,3997
1688580220227,143437,3997
1688580220243,143437,3997
1688580220258,143437,3997
1688580220274,143437,3997
1688580220290,143437,3997
1688580220306,143437,3997
1688580220320,143437,3997
1688580220334,143437,3997
1688580220350,143437,3997
1688580220365,143437,3997
1688580220379,143437,3997
1688580220394,188437,3997
1688580220409,188437,3997
1688580220423,188437,3997
1688580220437,188437,3997
1688580220452,188437,3997
1688580220467,188437,3997
1688580220481,188437,3997
1688580220495,188437,3997
1688580220509,188437,3997
1688580220523,188437,3997
1688580220537,188437,3997
1688580220552,188437,3997
1688580220565,188437,3997
1688580220579,188437,3997
1688580220594,188437,3997
1688580220608,188437,3997
1688580220622,188437,3997
1688580220636,188437,3997
1688580220651,188437,3997
1688580220665,188437,3997
1688580220693,188437,3997
1688580220721,188437,3997
1688580220747,188437,3997
1688580220769,106562,3997
1688580220798,106562,3997
1688580220814,106562,3997
1688580220830,106562,3997
1688580220848,106562,3997
1688580220864,106562,3997
1688580220879,106562,3997
1688580220895,106562,3997
1688580220909,106562,3997
1688580220925,106562,3997
1688580220940,106562,3997
1688580220954,106562,3997
1688580220969,106562,3997
1688580220986,106562,3997
1688580221002,106562,3997
1688580221018,106562,3997
1688580221038,106562,3997
1688580221055,106562,3997
1688580221071,106562,3997
1688580221087,106562,3997
1688580221104,124687,3997
1688580221119,124687,3997
1688580221136,124687,3997
1688580221151,124687,3997
1688580221167,124687,3997
1688580221183,124687,3997
1688580221199,124687,3997
1688580221215,124687,3997
1688580221232,124687,3997
1688580221248,124687,3997
1688580221264,124687,3997
1688580221280,124687,3997
1688580221295,124687,3997
1688580221311,124687,3997
1688580221328,124687,3997
1688580221342,124687,3997
1688580221356,124687,3997
1688580221372,124687,3997
1688580221388,124687,3997
1688580221405,124687,3997
1688580221422,124687,3997
1688580221436,124687,3997
1688580221450,145937,3997
1688580221465,145937,3997
1688580221482,145937,3997
1688580221498,145937,3997
1688580221515,145937,3997
1688580221530,145937,3997
1688580221545,145937,3997
1688580221559,145937,3997
1688580221573,145937,3997
1688580221587,145937,3997
1688580221602,145937,3997
1688580221615,145937,3997
1688580221630,145937,3997
1688580221644,145937,3997
1688580221658,145937,3997
1688580221673,145937,3997
1688580221687,145937,3997
1688580221707,145937,3997
1688580221729,145937,3997
1688580221745,145937,3997
1688580221759,145937,3997
1688580221773,145937,3997
1688580221787,145937,3997
1688580221804,195312,3997
1688580221820,195312,3997
1688580221835,195312,3997
1688580221850,195312,3997
1688580221866,195312,3997
1688580221882,195312,3997
1688580221898,195312,3997
1688580221913,195312,3997
1688580221929,195312,3997
1688580221944,195312,3997
