Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688598474612,837812,3990
1688598474625,837812,3990
1688598474637,837812,3990
1688598474649,837812,3990
1688598474662,837812,3990
1688598474674,837812,3990
1688598474685,837812,3990
1688598474697,837812,3990
1688598474708,837812,3990
1688598474719,837812,3990
1688598474731,837812,3990
1688598474742,837812,3990
1688598474754,837812,3990
1688598474765,837812,3990
1688598474777,837812,3990
1688598474788,837812,3990
1688598474799,837812,3990
1688598474811,837812,3990
1688598474822,837812,3990
1688598474834,837812,3990
1688598474845,837812,3990
1688598474856,837812,3990
1688598474868,837812,3990
1688598474879,837812,3990
1688598474891,530937,3990
1688598474902,530937,3990
1688598474913,530937,3990
1688598474925,530937,3990
1688598474936,530937,3990
1688598474948,530937,3990
1688598474959,530937,3990
1688598474970,530937,3990
1688598474982,530937,3990
1688598474993,530937,3990
1688598475005,530937,3990
1688598475016,530937,3990
1688598475027,530937,3990
1688598475039,530937,3990
1688598475050,530937,3990
1688598475062,530937,3990
1688598475073,530937,3990
1688598475084,530937,3990
1688598475096,530937,3990
1688598475107,530937,3990
1688598475119,530937,3990
1688598475130,530937,3990
1688598475141,530937,3990
1688598475153,530937,3990
1688598475164,530937,3990
1688598475176,530937,3990
1688598475188,530937,3990
1688598475200,530937,3990
1688598475211,530937,3990
1688598475222,530937,3990
1688598475234,530937,3990
1688598475245,517500,3990
1688598475257,517500,3990
1688598475268,517500,3990
1688598475279,517500,3990
1688598475291,517500,3990
1688598475302,517500,3990
1688598475314,517500,3990
1688598475325,517500,3990
1688598475337,517500,3990
1688598475348,517500,3990
1688598475360,517500,3990
1688598475371,517500,3990
1688598475383,517500,3990
1688598475394,517500,3990
1688598475405,517500,3990
1688598475417,517500,3990
1688598475428,517500,3990
1688598475440,517500,3990
1688598475451,517500,3990
1688598475463,517500,3990
1688598475474,517500,3990
1688598475485,517500,3990
1688598475497,517500,3990
1688598475508,517500,3990
1688598475520,517500,3990
1688598475531,517500,3990
1688598475542,517500,3990
1688598475554,517500,3990
1688598475565,517500,3990
1688598475577,517500,3990
1688598475588,469687,3990
1688598475599,469687,3990
1688598475611,469687,3990
1688598475622,469687,3990
1688598475634,469687,3990
1688598475645,469687,3990
1688598475656,469687,3990
1688598475668,469687,3990
1688598475679,469687,3990
1688598475690,469687,3990
