Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688463468780,-502929,4312
1688463468884,-301757,4312
1688463468987,-301757,4312
1688463469091,-301757,4312
1688463469194,-301757,4312
1688463469297,-301757,4312
1688463469400,-301757,4312
1688463469503,-301757,4312
1688463469607,-301757,4312
1688463469710,-301757,4312
1688463469813,-301757,4312
1688463469916,-301757,4312
1688463470020,-301757,4312
1688463470123,-301757,4312
1688463470226,-301757,4312
1688463470329,-190429,4312
1688463470445,-190429,4312
1688463470553,-190429,4312
1688463470665,-190429,4312
1688463470777,-190429,4312
1688463470892,-190429,4312
1688463470999,-190429,4312
1688463471112,-190429,4312
1688463471222,-190429,4312
1688463471336,-190429,4312
1688463471445,-190429,4312
1688463471560,-190429,4312
1688463471677,-190429,4312
1688463471793,-122070,4312
1688463471907,-122070,4312
1688463472024,-122070,4312
1688463472140,-122070,4312
1688463472247,-122070,4312
1688463472358,-122070,4312
1688463472475,-122070,4312
1688463472585,-122070,4312
1688463472689,-122070,4312
1688463472796,-122070,4312
1688463472900,-122070,4312
1688463473016,-122070,4312
1688463473132,-122070,4312
1688463473248,-122070,4312
1688463473358,-115722,4312
1688463473467,-115722,4312
1688463473584,-115722,4312
1688463473694,-115722,4312
1688463473805,-115722,4312
1688463473920,-115722,4312
1688463474035,-115722,4312
1688463474140,-115722,4312
1688463474248,-115722,4312
1688463474361,-115722,4312
1688463474470,-115722,4312
1688463474578,-115722,4312
1688463474690,-115722,4312
1688463474804,-173828,4312
1688463474927,-173828,4312
1688463475044,-173828,4312
1688463475160,-173828,4312
1688463475274,-173828,4312
1688463475390,-173828,4312
1688463475504,-173828,4312
1688463475613,-173828,4312
1688463475722,-173828,4312
1688463475837,-173828,4312
1688463475954,-173828,4312
1688463476068,-173828,4312
1688463476184,-173828,4312
1688463476298,-130859,4312
1688463476414,-130859,4312
1688463476525,-130859,4312
1688463476634,-130859,4312
1688463476750,-130859,4312
1688463476861,-130859,4312
1688463476984,-130859,4312
1688463477099,-130859,4312
1688463477214,-130859,4312
1688463477323,-130859,4312
1688463477436,-130859,4312
1688463477552,-130859,4312
1688463477671,-130859,4312
1688463477779,-125976,4312
1688463477887,-125976,4312
1688463478002,-125976,4312
1688463478121,-125976,4312
1688463478239,-125976,4312
1688463478355,-125976,4312
1688463478472,-125976,4312
1688463478586,-125976,4312
1688463478698,-125976,4312
1688463478809,-125976,4312
1688463478919,-125976,4312
1688463479028,-125976,4312
1688463479147,-157714,4312
1688463479259,-157714,4312
1688463479369,-157714,4312
1688463479478,-157714,4312
1688463479596,-157714,4312
1688463479712,-157714,4312
1688463479820,-157714,4312
1688463479931,-157714,4312
1688463480041,-157714,4312
1688463480150,-157714,4312
1688463480260,-157714,4312
1688463480366,-157714,4312
1688463480475,-157714,4312
1688463480586,-157714,4312
1688463480697,-147460,4312
1688463480808,-147460,4312
1688463480921,-147460,4312
1688463481032,-147460,4312
1688463481140,-147460,4312
1688463481250,-147460,4312
1688463481361,-147460,4312
1688463481473,-147460,4312
1688463481586,-147460,4312
1688463481697,-147460,4312
1688463481808,-147460,4312
1688463481917,-147460,4312
1688463482028,-147460,4312
1688463482138,-140624,4312
1688463482247,-140624,4312
1688463482357,-140624,4312
1688463482468,-140624,4312
1688463482579,-140624,4312
1688463482687,-140624,4312
1688463482796,-140624,4312
1688463482905,-140624,4312
1688463483014,-140624,4312
1688463483124,-140624,4312
1688463483237,-140624,4312
1688463483351,-140624,4312
1688463483457,-140624,4312
1688463483566,-225097,4312
1688463483676,-225097,4312
1688463483787,-225097,4312
1688463483896,-225097,4312
1688463484007,-225097,4312
1688463484117,-225097,4312
1688463484231,-225097,4312
1688463484340,-225097,4312
1688463484448,-225097,4312
1688463484559,-225097,4312
1688463484669,-225097,4312
1688463484780,-225097,4312
1688463484893,-225097,4312
1688463485002,-225097,4312
1688463485114,-181152,4312
1688463485221,-181152,4312
1688463485331,-181152,4312
1688463485441,-181152,4312
1688463485555,-181152,4312
1688463485664,-181152,4312
1688463485771,-181152,4312
1688463485895,-181152,4312
1688463486006,-181152,4312
1688463486116,-181152,4312
1688463486226,-181152,4312
1688463486335,-181152,4312
1688463486443,-181152,4312
1688463486548,-225585,4312
1688463486659,-225585,4312
1688463486769,-225585,4312
1688463486879,-225585,4312
1688463486988,-225585,4312
1688463487098,-225585,4312
1688463487207,-225585,4312
1688463487314,-225585,4312
1688463487422,-225585,4312
1688463487530,-225585,4312
1688463487640,-225585,4312
1688463487750,-225585,4312
1688463487861,-225585,4312
1688463487970,-225585,4312
