Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688482175356,-320312,4353
1688482175460,-320312,4353
1688482175564,-320312,4353
1688482175667,-320312,4353
1688482175770,-320312,4353
1688482175874,-320312,4353
1688482175977,-320312,4353
1688482176081,-229980,4353
1688482176184,-229980,4353
1688482176287,-229980,4353
1688482176390,-229980,4353
1688482176494,-229980,4353
1688482176597,-229980,4353
1688482176700,-229980,4353
1688482176809,-229980,4353
1688482176917,-229980,4353
1688482177028,-229980,4353
1688482177136,-229980,4353
1688482177246,-229980,4353
1688482177355,-229980,4353
1688482177463,-229980,4353
1688482177574,-208495,4353
1688482177685,-208495,4353
1688482177795,-208495,4353
1688482177904,-208495,4353
1688482178014,-208495,4353
1688482178121,-208495,4353
1688482178227,-208495,4353
1688482178338,-208495,4353
1688482178451,-208495,4353
1688482178563,-208495,4353
1688482178671,-208495,4353
1688482178781,-208495,4353
1688482178889,-208495,4353
1688482179000,-208495,4353
1688482179109,-208007,4353
1688482179216,-208007,4353
1688482179326,-208007,4353
1688482179434,-208007,4353
1688482179544,-208007,4353
1688482179652,-208007,4353
1688482179761,-208007,4353
1688482179872,-208007,4353
1688482179982,-208007,4353
1688482180090,-208007,4353
1688482180199,-208007,4353
1688482180311,-208007,4353
1688482180418,-208007,4353
1688482180529,-218261,4353
1688482180638,-218261,4353
1688482180747,-218261,4353
1688482180856,-218261,4353
1688482180964,-218261,4353
1688482181073,-218261,4353
1688482181181,-218261,4353
1688482181290,-218261,4353
1688482181405,-218261,4353
1688482181514,-218261,4353
1688482181624,-218261,4353
1688482181733,-218261,4353
1688482181843,-218261,4353
1688482181951,-218261,4353
1688482182060,-210937,4353
1688482182168,-210937,4353
1688482182278,-210937,4353
1688482182387,-210937,4353
1688482182495,-210937,4353
1688482182603,-210937,4353
1688482182711,-210937,4353
1688482182820,-210937,4353
1688482182930,-210937,4353
1688482183038,-210937,4353
1688482183155,-210937,4353
1688482183264,-210937,4353
1688482183374,-210937,4353
1688482183481,-245605,4353
1688482183591,-245605,4353
1688482183704,-245605,4353
1688482183815,-245605,4353
1688482183923,-245605,4353
1688482184033,-245605,4353
1688482184142,-245605,4353
1688482184250,-245605,4353
1688482184360,-245605,4353
1688482184468,-245605,4353
1688482184580,-245605,4353
1688482184687,-245605,4353
1688482184797,-245605,4353
1688482184909,-245605,4353
1688482185017,-198242,4353
1688482185128,-198242,4353
1688482185237,-198242,4353
1688482185349,-198242,4353
1688482185459,-198242,4353
1688482185568,-198242,4353
1688482185676,-198242,4353
1688482185785,-198242,4353
1688482185895,-198242,4353
1688482186004,-198242,4353
1688482186114,-198242,4353
1688482186221,-198242,4353
1688482186330,-198242,4353
1688482186438,-213378,4353
1688482186550,-213378,4353
1688482186659,-213378,4353
1688482186768,-213378,4353
1688482186877,-213378,4353
1688482186985,-213378,4353
1688482187093,-213378,4353
1688482187202,-213378,4353
1688482187311,-213378,4353
1688482187421,-213378,4353
1688482187529,-213378,4353
1688482187639,-213378,4353
1688482187751,-213378,4353
1688482187860,-213378,4353
1688482187968,-210937,4353
1688482188078,-210937,4353
1688482188190,-210937,4353
1688482188299,-210937,4353
1688482188411,-210937,4353
1688482188519,-210937,4353
1688482188646,-210937,4353
1688482188756,-210937,4353
1688482188865,-210937,4353
1688482188975,-210937,4353
1688482189085,-210937,4353
1688482189196,-210937,4353
1688482189308,-210937,4353
1688482189418,-193359,4353
1688482189527,-193359,4353
1688482189636,-193359,4353
1688482189744,-193359,4353
1688482189855,-193359,4353
1688482189964,-193359,4353
1688482190072,-193359,4353
1688482190180,-193359,4353
1688482190288,-193359,4353
1688482190396,-193359,4353
1688482190504,-193359,4353
1688482190612,-193359,4353
1688482190720,-193359,4353
1688482190829,-193359,4353
1688482190937,-223632,4353
1688482191050,-223632,4353
1688482191158,-223632,4353
1688482191267,-223632,4353
1688482191374,-223632,4353
1688482191482,-223632,4353
1688482191591,-223632,4353
1688482191699,-223632,4353
1688482191813,-223632,4353
1688482191922,-223632,4353
1688482192030,-223632,4353
1688482192141,-223632,4353
1688482192249,-223632,4353
1688482192358,-208984,4353
1688482192468,-208984,4353
1688482192576,-208984,4353
1688482192684,-208984,4353
1688482192792,-208984,4353
1688482192903,-208984,4353
1688482193011,-208984,4353
1688482193120,-208984,4353
1688482193228,-208984,4353
1688482193338,-208984,4353
1688482193451,-208984,4353
1688482193564,-208984,4353
1688482193671,-208984,4353
1688482193778,-208984,4353
1688482193889,-196777,4353
1688482193998,-196777,4353
1688482194107,-196777,4353
1688482194214,-196777,4353
1688482194322,-196777,4353
1688482194431,-196777,4353
1688482194539,-196777,4353
1688482194652,-196777,4353
1688482194762,-196777,4353
1688482194870,-196777,4353
1688482194985,-196777,4353
1688482195094,-196777,4353
1688482195201,-196777,4353
1688482195310,-241699,4353
1688482195418,-241699,4353
1688482195527,-241699,4353
1688482195636,-241699,4353
1688482195743,-241699,4353
1688482195850,-241699,4353
1688482195961,-241699,4353
1688482196074,-241699,4353
1688482196182,-241699,4353
1688482196294,-241699,4353
1688482196402,-241699,4353
1688482196510,-241699,4353
1688482196618,-241699,4353
1688482196731,-241699,4353
1688482196846,-142089,4353
1688482196958,-142089,4353
1688482197072,-142089,4353
1688482197186,-142089,4353
1688482197299,-142089,4353
1688482197413,-142089,4353
1688482197519,-142089,4353
1688482197629,-142089,4353
1688482197737,-142089,4353
1688482197845,-142089,4353
1688482197956,-142089,4353
1688482198066,-142089,4353
1688482198176,-142089,4353
1688482198288,-154296,4353
1688482198401,-154296,4353
1688482198517,-154296,4353
1688482198625,-154296,4353
1688482198735,-154296,4353
1688482198862,-154296,4353
1688482198976,-154296,4353
1688482199089,-154296,4353
1688482199201,-154296,4353
1688482199313,-154296,4353
1688482199428,-154296,4353
1688482199544,-154296,4353
1688482199659,-154296,4353
1688482199768,-162109,4353
1688482199878,-162109,4353
1688482199991,-162109,4353
1688482200097,-162109,4353
1688482200213,-162109,4353
1688482200329,-162109,4353
1688482200441,-162109,4353
1688482200558,-162109,4353
1688482200675,-162109,4353
1688482200794,-162109,4353
1688482200901,-162109,4353
1688482201009,-162109,4353
1688482201121,-162109,4353
1688482201235,-131835,4353
1688482201346,-131835,4353
1688482201462,-131835,4353
1688482201578,-131835,4353
1688482201699,-131835,4353
1688482201806,-131835,4353
1688482201914,-131835,4353
1688482202021,-131835,4353
1688482202132,-131835,4353
1688482202245,-131835,4353
1688482202356,-131835,4353
1688482202470,-131835,4353
1688482202585,-131835,4353
1688482202696,-147460,4353
1688482202825,-147460,4353
1688482202938,-147460,4353
1688482203048,-147460,4353
1688482203155,-147460,4353
1688482203267,-147460,4353
1688482203382,-147460,4353
1688482203498,-147460,4353
1688482203618,-147460,4353
1688482203734,-147460,4353
1688482203847,-147460,4353
1688482203972,-147460,4353
1688482204079,-147460,4353
1688482204188,-166992,4353
1688482204297,-166992,4353
1688482204408,-166992,4353
1688482204525,-166992,4353
1688482204637,-166992,4353
1688482204745,-166992,4353
1688482204853,-166992,4353
1688482204969,-166992,4353
1688482205086,-166992,4353
1688482205197,-166992,4353
1688482205308,-166992,4353
1688482205417,-166992,4353
1688482205533,-166992,4353
1688482205650,-145019,4353
1688482205762,-145019,4353
1688482205877,-145019,4353
1688482206008,-145019,4353
1688482206119,-145019,4353
1688482206231,-145019,4353
1688482206338,-145019,4353
1688482206446,-145019,4353
1688482206555,-145019,4353
1688482206666,-145019,4353
1688482206781,-145019,4353
1688482206897,-145019,4353
1688482207014,-145019,4353
1688482207125,-139648,4353
1688482207239,-139648,4353
1688482207349,-139648,4353
1688482207457,-139648,4353
1688482207564,-139648,4353
1688482207675,-139648,4353
1688482207789,-139648,4353
1688482207903,-139648,4353
1688482208014,-139648,4353
1688482208128,-139648,4353
1688482208246,-139648,4353
1688482208357,-139648,4353
1688482208470,-139648,4353
1688482208579,-139648,4353
1688482208687,-194335,4353
1688482208798,-194335,4353
1688482208911,-194335,4353
1688482209022,-194335,4353
1688482209141,-194335,4353
1688482209257,-194335,4353
1688482209375,-194335,4353
1688482209486,-194335,4353
1688482209600,-194335,4353
1688482209707,-194335,4353
1688482209816,-194335,4353
1688482209927,-194335,4353
1688482210052,-194335,4353
1688482210161,-135742,4353
1688482210269,-135742,4353
1688482210394,-135742,4353
1688482210507,-135742,4353
1688482210615,-135742,4353
1688482210725,-135742,4353
1688482210835,-135742,4353
1688482210951,-135742,4353
1688482211066,-135742,4353
1688482211177,-135742,4353
1688482211290,-135742,4353
1688482211407,-135742,4353
1688482211518,-135742,4353
1688482211634,-125976,4353
1688482211746,-125976,4353
1688482211854,-125976,4353
1688482211964,-125976,4353
