Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688483506265,-301757,4308
1688483506370,-301757,4308
1688483506473,-301757,4308
1688483506576,-301757,4308
1688483506678,-301757,4308
1688483506781,-301757,4308
1688483506884,-301757,4308
1688483506987,-301757,4308
1688483507090,-301757,4308
1688483507194,-301757,4308
1688483507297,-301757,4308
1688483507399,-301757,4308
1688483507503,-229980,4308
1688483507606,-229980,4308
1688483507709,-229980,4308
1688483507822,-229980,4308
1688483507929,-229980,4308
1688483508056,-229980,4308
1688483508180,-229980,4308
1688483508294,-229980,4308
1688483508409,-229980,4308
1688483508524,-229980,4308
1688483508635,-229980,4308
1688483508744,-229980,4308
1688483508858,-229980,4308
1688483508984,-161621,4308
1688483509101,-161621,4308
1688483509215,-161621,4308
1688483509329,-161621,4308
1688483509450,-161621,4308
1688483509566,-161621,4308
1688483509673,-161621,4308
1688483509781,-161621,4308
1688483509889,-161621,4308
1688483510005,-161621,4308
1688483510129,-161621,4308
1688483510246,-161621,4308
1688483510369,-161621,4308
1688483510489,-164062,4308
1688483510611,-164062,4308
1688483510742,-164062,4308
1688483510850,-164062,4308
1688483510958,-164062,4308
1688483511070,-164062,4308
1688483511183,-164062,4308
1688483511293,-164062,4308
1688483511402,-164062,4308
1688483511511,-164062,4308
1688483511619,-164062,4308
1688483511731,-164062,4308
1688483511844,-164062,4308
1688483511952,-168456,4308
1688483512066,-168456,4308
1688483512180,-168456,4308
1688483512292,-168456,4308
1688483512405,-168456,4308
1688483512512,-168456,4308
1688483512616,-168456,4308
1688483512731,-168456,4308
1688483512854,-168456,4308
1688483512967,-168456,4308
1688483513075,-168456,4308
1688483513189,-168456,4308
1688483513302,-168456,4308
1688483513415,-190429,4308
1688483513529,-190429,4308
1688483513644,-190429,4308
1688483513751,-190429,4308
1688483513859,-190429,4308
1688483513968,-190429,4308
1688483514084,-190429,4308
1688483514194,-190429,4308
1688483514303,-190429,4308
1688483514425,-190429,4308
1688483514547,-190429,4308
1688483514668,-190429,4308
1688483514779,-190429,4308
1688483514887,-159667,4308
1688483515001,-159667,4308
1688483515118,-159667,4308
1688483515241,-159667,4308
1688483515349,-159667,4308
1688483515460,-159667,4308
1688483515575,-159667,4308
1688483515690,-159667,4308
1688483515799,-159667,4308
1688483515907,-159667,4308
1688483516022,-159667,4308
1688483516144,-159667,4308
1688483516258,-159667,4308
1688483516370,-157226,4308
1688483516479,-157226,4308
1688483516586,-157226,4308
1688483516703,-157226,4308
1688483516816,-157226,4308
1688483516928,-157226,4308
1688483517048,-157226,4308
1688483517158,-157226,4308
1688483517266,-157226,4308
1688483517378,-157226,4308
1688483517491,-157226,4308
1688483517604,-157226,4308
1688483517712,-157226,4308
1688483517827,-222656,4308
1688483517944,-222656,4308
1688483518057,-222656,4308
1688483518171,-222656,4308
1688483518287,-222656,4308
1688483518400,-222656,4308
1688483518526,-222656,4308
1688483518642,-222656,4308
1688483518750,-222656,4308
1688483518859,-222656,4308
1688483518968,-222656,4308
1688483519080,-222656,4308
1688483519191,-222656,4308
1688483519318,-147460,4308
1688483519431,-147460,4308
1688483519544,-147460,4308
1688483519660,-147460,4308
1688483519776,-147460,4308
1688483519885,-147460,4308
1688483519996,-147460,4308
1688483520105,-147460,4308
1688483520215,-147460,4308
1688483520329,-147460,4308
1688483520443,-147460,4308
1688483520555,-147460,4308
1688483520674,-147460,4308
1688483520791,-158691,4308
1688483520901,-158691,4308
1688483521010,-158691,4308
1688483521119,-158691,4308
1688483521227,-158691,4308
1688483521341,-158691,4308
1688483521448,-158691,4308
1688483521560,-158691,4308
1688483521668,-158691,4308
1688483521782,-158691,4308
1688483521907,-158691,4308
1688483522020,-158691,4308
1688483522128,-158691,4308
1688483522236,-225585,4308
1688483522348,-225585,4308
1688483522466,-225585,4308
1688483522578,-225585,4308
1688483522690,-225585,4308
1688483522799,-225585,4308
1688483522907,-225585,4308
1688483523018,-225585,4308
1688483523131,-225585,4308
1688483523241,-225585,4308
1688483523348,-225585,4308
1688483523462,-225585,4308
1688483523584,-225585,4308
1688483523696,-144042,4308
1688483523810,-144042,4308
1688483523941,-144042,4308
1688483524050,-144042,4308
1688483524161,-144042,4308
1688483524274,-144042,4308
1688483524386,-144042,4308
1688483524494,-144042,4308
1688483524607,-144042,4308
1688483524722,-144042,4308
1688483524837,-144042,4308
1688483524949,-144042,4308
1688483525067,-144042,4308
1688483525182,-152831,4308
1688483525306,-152831,4308
1688483525417,-152831,4308
1688483525525,-152831,4308
1688483525636,-152831,4308
1688483525743,-152831,4308
1688483525858,-152831,4308
1688483525979,-152831,4308
1688483526095,-152831,4308
1688483526225,-152831,4308
1688483526342,-152831,4308
1688483526450,-152831,4308
1688483526562,-152831,4308
1688483526674,-205078,4308
1688483526786,-205078,4308
1688483526904,-205078,4308
1688483527019,-205078,4308
1688483527131,-205078,4308
1688483527244,-205078,4308
1688483527356,-205078,4308
1688483527469,-205078,4308
1688483527581,-205078,4308
1688483527689,-205078,4308
1688483527797,-205078,4308
1688483527909,-205078,4308
1688483528044,-205078,4308
1688483528157,-150390,4308
1688483528270,-150390,4308
1688483528383,-150390,4308
1688483528496,-150390,4308
1688483528609,-150390,4308
1688483528721,-150390,4308
1688483528829,-150390,4308
1688483528938,-150390,4308
1688483529061,-150390,4308
1688483529172,-150390,4308
1688483529285,-150390,4308
1688483529392,-150390,4308
1688483529499,-150390,4308
1688483529610,-166503,4308
1688483529724,-166503,4308
1688483529835,-166503,4308
1688483529944,-166503,4308
1688483530051,-166503,4308
1688483530165,-166503,4308
1688483530277,-166503,4308
1688483530389,-166503,4308
1688483530505,-166503,4308
1688483530621,-166503,4308
1688483530733,-166503,4308
1688483530840,-166503,4308
1688483530949,-166503,4308
1688483531056,-166503,4308
1688483531164,-169433,4308
1688483531271,-169433,4308
1688483531380,-169433,4308
1688483531496,-169433,4308
1688483531608,-169433,4308
1688483531721,-169433,4308
1688483531838,-169433,4308
1688483531955,-169433,4308
1688483532068,-169433,4308
1688483532178,-169433,4308
1688483532286,-169433,4308
1688483532395,-169433,4308
1688483532503,-169433,4308
1688483532615,-162109,4308
1688483532727,-162109,4308
1688483532843,-162109,4308
1688483532955,-162109,4308
1688483533067,-162109,4308
1688483533180,-162109,4308
1688483533291,-162109,4308
1688483533399,-162109,4308
1688483533507,-162109,4308
1688483533624,-162109,4308
1688483533740,-162109,4308
1688483533851,-162109,4308
1688483533963,-162109,4308
1688483534076,-148925,4308
1688483534188,-148925,4308
1688483534298,-148925,4308
1688483534415,-148925,4308
1688483534525,-148925,4308
1688483534634,-148925,4308
1688483534749,-148925,4308
1688483534866,-148925,4308
1688483534976,-148925,4308
1688483535084,-148925,4308
1688483535201,-148925,4308
1688483535316,-148925,4308
1688483535435,-148925,4308
