Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688489627181,-338378,4203
1688489627285,-338378,4203
1688489627388,-338378,4203
1688489627491,-338378,4203
1688489627595,-338378,4203
1688489627698,-338378,4203
1688489627801,-338378,4203
1688489627904,-338378,4203
1688489628007,-338378,4203
1688489628110,-338378,4203
1688489628213,-338378,4203
1688489628316,-338378,4203
1688489628419,-338378,4203
1688489628523,-338378,4203
1688489628626,-279296,4203
1688489628739,-279296,4203
1688489628853,-279296,4203
1688489628967,-279296,4203
1688489629081,-279296,4203
1688489629189,-279296,4203
1688489629298,-279296,4203
1688489629407,-279296,4203
1688489629515,-279296,4203
1688489629624,-279296,4203
1688489629734,-279296,4203
1688489629848,-279296,4203
1688489629965,-279296,4203
1688489630080,-161621,4203
1688489630194,-161621,4203
1688489630309,-161621,4203
1688489630421,-161621,4203
1688489630529,-161621,4203
1688489630638,-161621,4203
1688489630754,-161621,4203
1688489630865,-161621,4203
1688489630978,-161621,4203
1688489631091,-161621,4203
1688489631207,-161621,4203
1688489631326,-161621,4203
1688489631437,-161621,4203
1688489631545,-183105,4203
1688489631655,-183105,4203
1688489631768,-183105,4203
1688489631881,-183105,4203
1688489631997,-183105,4203
1688489632116,-183105,4203
1688489632222,-183105,4203
1688489632336,-183105,4203
1688489632444,-183105,4203
1688489632557,-183105,4203
1688489632666,-183105,4203
1688489632774,-183105,4203
1688489632889,-183105,4203
1688489633006,-147460,4203
1688489633122,-147460,4203
1688489633238,-147460,4203
1688489633361,-147460,4203
1688489633473,-147460,4203
1688489633586,-147460,4203
1688489633694,-147460,4203
1688489633804,-147460,4203
1688489633912,-147460,4203
1688489634027,-147460,4203
1688489634139,-147460,4203
1688489634252,-147460,4203
1688489634377,-147460,4203
1688489634492,-166503,4203
1688489634605,-166503,4203
1688489634720,-166503,4203
1688489634828,-166503,4203
1688489634937,-166503,4203
1688489635051,-166503,4203
1688489635174,-166503,4203
1688489635290,-166503,4203
1688489635402,-166503,4203
1688489635518,-166503,4203
1688489635634,-166503,4203
1688489635747,-166503,4203
1688489635853,-166503,4203
1688489635961,-194335,4203
1688489636070,-194335,4203
1688489636182,-194335,4203
1688489636294,-194335,4203
1688489636409,-194335,4203
1688489636524,-194335,4203
1688489636642,-194335,4203
1688489636759,-194335,4203
