Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688495262800,-360351,4270
1688495262905,-360351,4270
1688495263008,-360351,4270
1688495263111,-360351,4270
1688495263214,-360351,4270
1688495263317,-360351,4270
1688495263420,-360351,4270
1688495263524,-360351,4270
1688495263627,-360351,4270
1688495263730,-360351,4270
1688495263833,-360351,4270
1688495263936,-360351,4270
1688495264039,-360351,4270
1688495264142,-253906,4270
1688495264245,-253906,4270
1688495264357,-253906,4270
1688495264471,-253906,4270
1688495264585,-253906,4270
1688495264699,-253906,4270
1688495264819,-253906,4270
1688495264941,-253906,4270
1688495265054,-253906,4270
1688495265168,-253906,4270
1688495265276,-253906,4270
1688495265388,-253906,4270
1688495265503,-253906,4270
1688495265611,-124999,4270
1688495265727,-124999,4270
1688495265844,-124999,4270
1688495265959,-124999,4270
1688495266066,-124999,4270
1688495266177,-124999,4270
1688495266288,-124999,4270
1688495266396,-124999,4270
1688495266512,-124999,4270
1688495266624,-124999,4270
1688495266741,-124999,4270
1688495266858,-124999,4270
1688495266972,-124999,4270
1688495267088,-145019,4270
1688495267202,-145019,4270
1688495267314,-145019,4270
1688495267425,-145019,4270
1688495267535,-145019,4270
1688495267652,-145019,4270
1688495267764,-145019,4270
1688495267879,-145019,4270
1688495267995,-145019,4270
1688495268113,-145019,4270
1688495268226,-145019,4270
1688495268342,-145019,4270
1688495268457,-145019,4270
1688495268567,-174316,4270
1688495268677,-174316,4270
1688495268787,-174316,4270
1688495268902,-174316,4270
1688495269029,-174316,4270
1688495269146,-174316,4270
1688495269257,-174316,4270
1688495269375,-174316,4270
1688495269490,-174316,4270
1688495269601,-174316,4270
1688495269711,-174316,4270
1688495269820,-174316,4270
1688495269936,-174316,4270
1688495270047,-130859,4270
1688495270164,-130859,4270
1688495270281,-130859,4270
1688495270394,-130859,4270
1688495270510,-130859,4270
1688495270623,-130859,4270
1688495270734,-130859,4270
1688495270853,-130859,4270
1688495270969,-130859,4270
1688495271081,-130859,4270
1688495271195,-130859,4270
1688495271310,-130859,4270
1688495271423,-130859,4270
1688495271540,-135742,4270
1688495271648,-135742,4270
1688495271756,-135742,4270
1688495271864,-135742,4270
1688495271973,-135742,4270
1688495272087,-135742,4270
1688495272205,-135742,4270
1688495272318,-135742,4270
1688495272433,-135742,4270
1688495272546,-135742,4270
1688495272657,-135742,4270
1688495272770,-135742,4270
1688495272879,-135742,4270
1688495272987,-181640,4270
1688495273096,-181640,4270
1688495273212,-181640,4270
1688495273330,-181640,4270
1688495273444,-181640,4270
1688495273556,-181640,4270
1688495273680,-181640,4270
1688495273792,-181640,4270
1688495273901,-181640,4270
1688495274008,-181640,4270
1688495274117,-181640,4270
1688495274225,-181640,4270
1688495274341,-181640,4270
1688495274460,-131835,4270
1688495274575,-131835,4270
1688495274687,-131835,4270
1688495274801,-131835,4270
1688495274916,-131835,4270
1688495275025,-131835,4270
1688495275135,-131835,4270
1688495275245,-131835,4270
1688495275353,-131835,4270
1688495275469,-131835,4270
1688495275584,-131835,4270
1688495275697,-131835,4270
1688495275820,-131835,4270
1688495275936,-146972,4270
1688495276049,-146972,4270
1688495276157,-146972,4270
1688495276268,-146972,4270
1688495276379,-146972,4270
1688495276484,-146972,4270
1688495276596,-146972,4270
1688495276709,-146972,4270
1688495276823,-146972,4270
1688495276935,-146972,4270
1688495277050,-146972,4270
1688495277163,-146972,4270
1688495277284,-146972,4270
1688495277392,-133300,4270
1688495277502,-133300,4270
1688495277616,-133300,4270
1688495277729,-133300,4270
1688495277846,-133300,4270
1688495277962,-133300,4270
1688495278074,-133300,4270
1688495278185,-133300,4270
1688495278301,-133300,4270
1688495278415,-133300,4270
1688495278525,-133300,4270
1688495278633,-133300,4270
1688495278748,-133300,4270
1688495278863,-166503,4270
1688495278976,-166503,4270
1688495279096,-166503,4270
1688495279210,-166503,4270
1688495279322,-166503,4270
1688495279440,-166503,4270
1688495279554,-166503,4270
1688495279665,-166503,4270
1688495279774,-166503,4270
1688495279890,-166503,4270
1688495280004,-166503,4270
1688495280114,-166503,4270
1688495280223,-166503,4270
1688495280332,-152343,4270
1688495280440,-152343,4270
1688495280549,-152343,4270
1688495280656,-152343,4270
1688495280764,-152343,4270
1688495280874,-152343,4270
1688495280982,-152343,4270
1688495281094,-152343,4270
1688495281203,-152343,4270
1688495281313,-152343,4270
1688495281427,-152343,4270
1688495281536,-152343,4270
1688495281646,-152343,4270
1688495281754,-152343,4270
1688495281865,-139160,4270
1688495281974,-139160,4270
1688495282082,-139160,4270
1688495282193,-139160,4270
1688495282302,-139160,4270
1688495282414,-139160,4270
1688495282522,-139160,4270
1688495282632,-139160,4270
1688495282745,-139160,4270
1688495282855,-139160,4270
1688495282965,-139160,4270
1688495283072,-139160,4270
1688495283192,-139160,4270
1688495283303,-208007,4270
1688495283413,-208007,4270
1688495283520,-208007,4270
1688495283628,-208007,4270
1688495283736,-208007,4270
1688495283844,-208007,4270
1688495283959,-208007,4270
1688495284067,-208007,4270
1688495284176,-208007,4270
1688495284284,-208007,4270
1688495284394,-208007,4270
1688495284505,-208007,4270
1688495284615,-208007,4270
1688495284727,-135253,4270
1688495284835,-135253,4270
1688495284944,-135253,4270
1688495285052,-135253,4270
1688495285160,-135253,4270
1688495285267,-135253,4270
1688495285376,-135253,4270
1688495285484,-135253,4270
1688495285595,-135253,4270
1688495285704,-135253,4270
1688495285815,-135253,4270
1688495285924,-135253,4270
1688495286034,-135253,4270
1688495286146,-135253,4270
1688495286254,-145019,4270
1688495286364,-145019,4270
1688495286471,-145019,4270
1688495286579,-145019,4270
1688495286689,-145019,4270
1688495286807,-145019,4270
1688495286919,-145019,4270
1688495287030,-145019,4270
1688495287140,-145019,4270
1688495287251,-145019,4270
1688495287365,-145019,4270
1688495287473,-145019,4270
1688495287582,-145019,4270
1688495287689,-201660,4270
1688495287799,-201660,4270
1688495287907,-201660,4270
1688495288016,-201660,4270
1688495288125,-201660,4270
1688495288233,-201660,4270
1688495288342,-201660,4270
1688495288453,-201660,4270
1688495288562,-201660,4270
1688495288670,-201660,4270
1688495288780,-201660,4270
1688495288887,-201660,4270
1688495288996,-201660,4270
1688495289104,-201660,4270
1688495289215,-135253,4270
1688495289326,-135253,4270
1688495289434,-135253,4270
1688495289550,-135253,4270
1688495289657,-135253,4270
1688495289766,-135253,4270
1688495289876,-135253,4270
1688495289985,-135253,4270
1688495290099,-135253,4270
1688495290209,-135253,4270
1688495290322,-135253,4270
1688495290433,-135253,4270
1688495290542,-135253,4270
1688495290660,-146484,4270
1688495290767,-146484,4270
1688495290875,-146484,4270
1688495290984,-146484,4270
1688495291092,-146484,4270
1688495291202,-146484,4270
1688495291311,-146484,4270
1688495291420,-146484,4270
1688495291530,-146484,4270
1688495291641,-146484,4270
1688495291756,-146484,4270
1688495291863,-146484,4270
1688495291972,-146484,4270
1688495292085,-190917,4270
1688495292194,-190917,4270
1688495292305,-190917,4270
1688495292416,-190917,4270
1688495292525,-190917,4270
1688495292632,-190917,4270
1688495292741,-190917,4270
1688495292853,-190917,4270
1688495292960,-190917,4270
1688495293069,-190917,4270
1688495293181,-190917,4270
1688495293294,-190917,4270
1688495293406,-190917,4270
1688495293520,-190917,4270
1688495293631,-124999,4270
1688495293759,-124999,4270
1688495293872,-124999,4270
1688495293993,-124999,4270
1688495294103,-124999,4270
1688495294211,-124999,4270
1688495294322,-124999,4270
1688495294434,-124999,4270
1688495294551,-124999,4270
1688495294663,-124999,4270
1688495294772,-124999,4270
1688495294881,-124999,4270
1688495294990,-124999,4270
1688495295106,-141601,4270
1688495295214,-141601,4270
1688495295322,-141601,4270
1688495295437,-141601,4270
1688495295558,-141601,4270
1688495295673,-141601,4270
1688495295785,-141601,4270
1688495295893,-141601,4270
1688495296003,-141601,4270
1688495296117,-141601,4270
1688495296234,-141601,4270
1688495296342,-141601,4270
1688495296455,-141601,4270
1688495296569,-213378,4270
1688495296683,-213378,4270
1688495296794,-213378,4270
1688495296910,-213378,4270
1688495297017,-213378,4270
1688495297127,-213378,4270
1688495297238,-213378,4270
1688495297352,-213378,4270
1688495297462,-213378,4270
1688495297570,-213378,4270
1688495297681,-213378,4270
1688495297793,-213378,4270
1688495297900,-213378,4270
1688495298011,-141601,4270
1688495298124,-141601,4270
1688495298243,-141601,4270
1688495298355,-141601,4270
1688495298471,-141601,4270
1688495298590,-141601,4270
1688495298703,-141601,4270
1688495298811,-141601,4270
1688495298930,-141601,4270
1688495299042,-141601,4270
1688495299158,-141601,4270
1688495299272,-141601,4270
1688495299386,-141601,4270
1688495299500,-120117,4270
1688495299627,-120117,4270
1688495299742,-120117,4270
1688495299851,-120117,4270
1688495299960,-120117,4270
1688495300067,-120117,4270
1688495300177,-120117,4270
1688495300293,-120117,4270
1688495300409,-120117,4270
1688495300521,-120117,4270
1688495300634,-120117,4270
1688495300745,-120117,4270
1688495300860,-120117,4270
1688495300976,-161132,4270
1688495301084,-161132,4270
1688495301193,-161132,4270
1688495301304,-161132,4270
1688495301416,-161132,4270
1688495301534,-161132,4270
1688495301650,-161132,4270
1688495301773,-161132,4270
1688495301890,-161132,4270
1688495302001,-161132,4270
1688495302114,-161132,4270
1688495302222,-161132,4270
1688495302328,-161132,4270
1688495302442,-203124,4270
1688495302550,-203124,4270
1688495302657,-203124,4270
1688495302764,-203124,4270
1688495302874,-203124,4270
1688495302985,-203124,4270
1688495303096,-203124,4270
1688495303209,-203124,4270
1688495303317,-203124,4270
1688495303427,-203124,4270
1688495303541,-203124,4270
1688495303653,-203124,4270
1688495303765,-203124,4270
1688495303877,-129882,4270
1688495303986,-129882,4270
1688495304101,-129882,4270
1688495304217,-129882,4270
1688495304331,-129882,4270
1688495304440,-129882,4270
1688495304546,-129882,4270
1688495304666,-129882,4270
1688495304782,-129882,4270
1688495304896,-129882,4270
1688495305004,-129882,4270
1688495305115,-129882,4270
1688495305223,-129882,4270
1688495305337,-146484,4270
1688495305454,-146484,4270
1688495305561,-146484,4270
1688495305673,-146484,4270
1688495305788,-146484,4270
1688495305904,-146484,4270
1688495306019,-146484,4270
1688495306125,-146484,4270
1688495306231,-146484,4270
1688495306350,-146484,4270
1688495306475,-146484,4270
1688495306589,-146484,4270
1688495306695,-146484,4270
1688495306803,-210937,4270
1688495306916,-210937,4270
1688495307027,-210937,4270
1688495307140,-210937,4270
1688495307255,-210937,4270
1688495307362,-210937,4270
1688495307471,-210937,4270
1688495307584,-210937,4270
1688495307706,-210937,4270
1688495307814,-210937,4270
1688495307922,-210937,4270
1688495308034,-210937,4270
1688495308156,-210937,4270
1688495308273,-210937,4270
1688495308384,-124511,4270
1688495308500,-124511,4270
1688495308616,-124511,4270
1688495308735,-124511,4270
1688495308851,-124511,4270
1688495308959,-124511,4270
1688495309065,-124511,4270
1688495309175,-124511,4270
1688495309289,-124511,4270
1688495309401,-124511,4270
1688495309513,-124511,4270
1688495309634,-124511,4270
1688495309745,-124511,4270
1688495309857,-125976,4270
1688495309971,-125976,4270
1688495310077,-125976,4270
1688495310186,-125976,4270
1688495310294,-125976,4270
1688495310409,-125976,4270
1688495310524,-125976,4270
1688495310640,-125976,4270
1688495310751,-125976,4270
1688495310867,-125976,4270
1688495310979,-125976,4270
1688495311093,-125976,4270
1688495311201,-125976,4270
1688495311310,-174804,4270
1688495311420,-174804,4270
1688495311536,-174804,4270
1688495311647,-174804,4270
1688495311762,-174804,4270
1688495311876,-174804,4270
1688495311987,-174804,4270
1688495312099,-174804,4270
1688495312211,-174804,4270
1688495312321,-174804,4270
1688495312427,-174804,4270
1688495312538,-174804,4270
1688495312660,-174804,4270
1688495312773,-137206,4270
1688495312885,-137206,4270
1688495312999,-137206,4270
1688495313115,-137206,4270
1688495313226,-137206,4270
1688495313342,-137206,4270
1688495313450,-137206,4270
1688495313557,-137206,4270
1688495313669,-137206,4270
1688495313781,-137206,4270
1688495313903,-137206,4270
1688495314015,-137206,4270
1688495314129,-137206,4270
1688495314240,-139160,4270
1688495314355,-139160,4270
1688495314470,-139160,4270
1688495314576,-139160,4270
1688495314684,-139160,4270
1688495314795,-139160,4270
1688495314906,-139160,4270
1688495315015,-139160,4270
1688495315130,-139160,4270
1688495315243,-139160,4270
1688495315353,-139160,4270
