Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688504706012,-506835,4281
1688504706118,-506835,4281
1688504706221,-403320,4281
1688504706324,-403320,4281
1688504706428,-403320,4281
1688504706531,-403320,4281
1688504706634,-403320,4281
1688504706738,-403320,4281
1688504706841,-403320,4281
1688504706945,-403320,4281
1688504707048,-403320,4281
1688504707152,-403320,4281
1688504707255,-403320,4281
1688504707358,-403320,4281
1688504707462,-403320,4281
1688504707572,-403320,4281
1688504707685,-253906,4281
1688504707795,-253906,4281
1688504707906,-253906,4281
1688504708023,-253906,4281
1688504708136,-253906,4281
1688504708246,-253906,4281
1688504708362,-253906,4281
1688504708469,-253906,4281
1688504708578,-253906,4281
1688504708689,-253906,4281
1688504708801,-253906,4281
1688504708911,-253906,4281
1688504709021,-253906,4281
1688504709131,-230468,4281
1688504709239,-230468,4281
1688504709349,-230468,4281
1688504709458,-230468,4281
1688504709567,-230468,4281
1688504709681,-230468,4281
1688504709797,-230468,4281
1688504709907,-230468,4281
1688504710017,-230468,4281
1688504710123,-230468,4281
1688504710230,-230468,4281
1688504710339,-230468,4281
1688504710448,-230468,4281
1688504710556,-230468,4281
1688504710665,-241699,4281
1688504710774,-241699,4281
1688504710886,-241699,4281
1688504710994,-241699,4281
1688504711102,-241699,4281
1688504711211,-241699,4281
1688504711320,-241699,4281
1688504711430,-241699,4281
1688504711539,-241699,4281
1688504711649,-241699,4281
1688504711758,-241699,4281
1688504711868,-241699,4281
1688504711979,-241699,4281
1688504712092,-215331,4281
1688504712201,-215331,4281
1688504712309,-215331,4281
1688504712418,-215331,4281
1688504712528,-215331,4281
1688504712638,-215331,4281
1688504712748,-215331,4281
1688504712857,-215331,4281
1688504712967,-215331,4281
1688504713075,-215331,4281
1688504713183,-215331,4281
1688504713296,-215331,4281
1688504713410,-215331,4281
1688504713526,-215331,4281
1688504713634,-147460,4281
1688504713745,-147460,4281
1688504713861,-147460,4281
1688504713976,-147460,4281
1688504714089,-147460,4281
1688504714198,-147460,4281
1688504714308,-147460,4281
1688504714418,-147460,4281
1688504714534,-147460,4281
1688504714649,-147460,4281
1688504714759,-147460,4281
1688504714868,-147460,4281
1688504714976,-147460,4281
1688504715091,-220703,4281
1688504715212,-220703,4281
1688504715329,-220703,4281
1688504715444,-220703,4281
1688504715551,-220703,4281
1688504715659,-220703,4281
1688504715767,-220703,4281
1688504715874,-220703,4281
1688504715984,-220703,4281
1688504716093,-220703,4281
1688504716203,-220703,4281
1688504716312,-220703,4281
1688504716424,-220703,4281
1688504716533,-196777,4281
1688504716646,-196777,4281
1688504716757,-196777,4281
1688504716866,-196777,4281
1688504716980,-196777,4281
1688504717088,-196777,4281
1688504717202,-196777,4281
1688504717314,-196777,4281
1688504717426,-196777,4281
1688504717535,-196777,4281
1688504717647,-196777,4281
1688504717755,-196777,4281
1688504717865,-196777,4281
1688504717976,-213867,4281
1688504718088,-213867,4281
1688504718205,-213867,4281
1688504718318,-213867,4281
1688504718426,-213867,4281
1688504718540,-213867,4281
1688504718653,-213867,4281
1688504718763,-213867,4281
1688504718877,-213867,4281
1688504718990,-213867,4281
1688504719098,-213867,4281
1688504719210,-213867,4281
1688504719326,-213867,4281
