Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688376009581,701250,4243
1688376010588,550937,4243
1688376011595,492812,4243
1688376012602,435625,4243
1688376013608,542500,4243
1688376014616,539375,4243
1688376015624,518125,4243
1688376016631,504062,4243
1688376017637,525312,4243
1688376018643,554687,4243
1688376019650,409062,4243
1688376020657,630937,4243
1688376021663,455312,4243
1688376022670,532812,4243
1688376023677,495312,4243
1688376024681,664687,4243
1688376025687,451562,4243
1688376026694,487187,4243
1688376027702,520000,4243
1688376028707,760000,4243
1688376029714,343437,4243
1688376030721,462500,4243
1688376031728,352187,4243
1688376032735,255937,4243
1688376033742,262187,4243
1688376034749,331562,4243
1688376035755,460000,4243
1688376036762,265000,4243
1688376037770,358437,4243
1688376038777,340937,4243
1688376039784,332187,4243
1688376040791,263437,4243
1688376041797,291250,4243
1688376042805,260312,4243
1688376043811,347187,4243
1688376044818,286875,4243
1688376045825,270625,4243
1688376046832,296562,4243
1688376047839,338750,4243
1688376048846,394375,4243
1688376049853,299062,4243
1688376050860,275312,4243
1688376051867,271562,4243
1688376052875,331562,4243
1688376053882,267500,4243
1688376054890,339062,4243
1688376055897,275937,4243
1688376056904,353437,4243
1688376057910,256250,4243
1688376058917,412500,4196
1688376059922,265000,4206
1688376060929,260000,4206
1688376061937,307500,4206
1688376062944,286875,4206
1688376063951,300312,4206
1688376064958,384062,4206
1688376065965,347500,4206
1688376066972,279375,4206
1688376067979,315937,4206
1688376068986,385000,4206
1688376069992,444375,4206
