Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688388756670,209687,4120
1688388757692,102500,4120
1688388758703,119375,4120
1688388759733,113750,4120
1688388760750,171875,4120
1688388761763,145312,4120
1688388762783,103750,4120
1688388763813,89375,4120
1688388764823,105312,4120
1688388765840,173437,4120
1688388766858,157812,4120
1688388767864,182500,4120
1688388768876,145937,4120
1688388769887,137812,4120
1688388770899,141875,4120
1688388771910,125625,4120
1688388772920,105000,4120
1688388773946,103750,4120
1688388774960,115000,4120
1688388775974,91562,4120
1688388776998,73750,4120
1688388778016,95625,4120
1688388779037,107500,4120
1688388780046,80312,4120
1688388781068,81562,4120
1688388782087,100312,4120
1688388783107,127812,4120
1688388784135,85625,4120
1688388785159,103125,4120
1688388786173,92187,4120
1688388787203,92812,4120
1688388788221,164062,4120
1688388789243,100625,4120
1688388790268,91875,4120
1688388791285,96875,4120
1688388792310,125000,4120
1688388793337,103437,4120
1688388794355,81562,4120
1688388795367,202500,4120
1688388796385,165937,4120
1688388797398,143437,4120
1688388798409,115000,4120
1688388799427,167187,4120
1688388800445,91562,4120
1688388801466,120000,4120
1688388802484,172812,4120
1688388803510,100000,4120
1688388804531,92500,4120
1688388805549,235625,4120
1688388806563,168750,4120
1688388807574,47812,4120
1688388808600,195000,4120
1688388809625,100312,4120
1688388810649,113750,4120
1688388811682,120312,4120
1688388812711,153750,4120
1688388813740,175312,4120
1688388814770,82812,4120
1688388815795,113125,4120
1688388816819,175937,4120
