Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688401591402,227812,4050
1688401592423,106562,4050
1688401593453,110937,4050
1688401594470,157812,4050
1688401595491,155625,4050
1688401596514,139687,4050
1688401597535,170312,4050
1688401598555,185625,4050
1688401599562,211875,4050
1688401600571,121875,4050
1688401601596,98437,4050
1688401602604,147500,4050
1688401603632,119375,4050
1688401604660,154062,4050
1688401605691,128125,4050
1688401606719,87187,4050
1688401607728,180312,4050
1688401608752,170937,4050
1688401609769,95937,4050
1688401610796,85312,4050
1688401611821,102500,4050
1688401612832,139687,4050
1688401613849,93125,4050
1688401614860,108750,4050
1688401615873,181875,4050
1688401616889,179687,4050
1688401617914,216562,4050
1688401618931,75312,4050
1688401619948,185312,4050
1688401620971,158750,4050
1688401621997,99375,4050
1688401623022,237500,4050
1688401624041,116562,4050
1688401625063,100000,4050
1688401626088,105000,4050
1688401627120,76875,4050
1688401628150,93125,4050
1688401629166,112187,4050
1688401630179,136562,4050
1688401631195,101250,4050
1688401632211,98437,4050
1688401633228,173437,4050
1688401634252,116250,4050
1688401635280,159687,4050
1688401636297,94375,4050
1688401637314,131250,4050
1688401638338,102187,4050
1688401639363,73750,4050
1688401640378,190937,4050
1688401641393,99375,4050
1688401642410,117500,4050
1688401643428,95000,4050
1688401644452,148437,4050
1688401645483,179375,4050
1688401646501,110000,4050
1688401647520,143125,4050
1688401648541,194687,4050
1688401649569,90000,4050
1688401650600,107187,4050
1688401651632,100625,4050
