Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688405764600,200625,4210
1688405765620,87500,4210
1688405766645,89687,4210
1688405767672,109062,4210
1688405768689,201250,4210
1688405769698,168750,4210
1688405770727,161250,4210
1688405771738,84062,4210
1688405772747,182500,4210
1688405773767,112187,4210
1688405774796,112187,4210
1688405775812,144687,4210
1688405776822,102812,4210
1688405777845,100312,4210
1688405778875,73125,4210
1688405779891,158750,4210
1688405780918,158437,4210
1688405781943,217500,4210
1688405782957,96562,4210
1688405783967,104687,4210
1688405784991,127812,4210
1688405786024,94375,4210
1688405787041,105000,4210
1688405788073,90000,4210
1688405789093,102500,4210
1688405790118,102812,4210
1688405791136,90937,4210
1688405792164,141562,4210
1688405793181,97187,4210
1688405794191,179062,4210
1688405795198,198125,4210
1688405796224,154062,4210
1688405797252,109062,4210
1688405798281,96562,4210
1688405799304,115312,4210
1688405800329,102187,4210
1688405801342,98437,4210
1688405802354,194375,4210
1688405803369,164375,4210
1688405804378,109375,4210
1688405805396,113437,4210
1688405806414,85937,4210
1688405807435,114062,4210
1688405808452,104687,4210
1688405809474,131875,4210
1688405810489,277812,4210
1688405811503,198125,4210
1688405812523,158437,4210
1688405813534,209375,4210
1688405814555,114375,4210
1688405815567,164375,4210
1688405816594,90000,4210
1688405817620,88125,4210
1688405818633,114375,4210
1688405819661,119687,4210
1688405820691,178125,4210
1688405821724,154062,4210
1688405822753,170937,4210
1688405823763,156875,4210
1688405824779,220937,4210
