Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688404541656,446250,4262
1688404542668,168125,4262
1688404543679,169687,4262
1688404544688,164375,4262
1688404545700,160625,4262
1688404546714,190625,4262
1688404547726,196562,4262
1688404548734,217500,4262
1688404549750,226250,4262
1688404550763,169687,4262
1688404551775,210000,4262
1688404552786,161250,4262
1688404553794,168437,4262
1688404554804,146875,4262
1688404555813,219375,4262
1688404556822,227187,4262
1688404557834,199375,4262
1688404558842,164375,4262
1688404559854,170625,4262
1688404560864,256250,4262
1688404561873,171875,4262
1688404562883,209375,4262
1688404563893,150000,4262
1688404564904,231562,4262
1688404565914,207187,4262
1688404566922,165000,4262
1688404567930,207187,4262
1688404568943,143125,4262
1688404569954,224375,4262
1688404570968,154687,4262
1688404571981,210312,4262
1688404572992,169062,4262
1688404574008,260937,4262
1688404575017,293750,4262
1688404576025,153750,4262
1688404577038,194062,4262
1688404578046,212187,4262
1688404579055,277500,4262
1688404580066,173125,4262
1688404581076,193750,4262
1688404582086,266875,4262
1688404583094,262500,4262
1688404584101,714375,4262
1688404585109,441875,4262
1688404586114,411250,4262
1688404587120,504687,4262
1688404588126,416562,4262
1688404589131,490937,4262
1688404590137,675312,4262
1688404591146,591562,4262
1688404592153,520312,4262
1688404593162,624062,4262
1688404594171,147812,4262
1688404595180,192812,4262
1688404596192,180312,4262
1688404597201,164375,4262
1688404598213,147500,4262
1688404599226,203437,4262
1688404600234,181562,4262
1688404601246,250000,4262
