Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688418729654,224687,4079
1688418730671,140937,4079
1688418731687,183750,4079
1688418732709,116250,4079
1688418733723,119062,4079
1688418734739,202812,4079
1688418735749,202187,4079
1688418736765,195312,4079
1688418737775,130000,4079
1688418738795,116250,4079
1688418739812,140000,4079
1688418740826,153750,4079
1688418741851,111875,4079
1688418742865,141562,4079
1688418743880,185937,4079
1688418744894,176562,4079
1688418745911,200312,4079
1688418746924,202187,4079
1688418747934,232812,4079
1688418748951,129687,4079
1688418749964,131250,4079
1688418750973,183125,4079
1688418751995,123437,4079
1688418753008,113125,4079
1688418754024,117500,4079
1688418755050,106875,4079
1688418756065,217187,4079
1688418757078,203437,4079
1688418758088,190937,4079
1688418759110,143125,4079
1688418760127,178750,4079
1688418761146,179375,4079
1688418762166,130937,4079
1688418763180,111875,4079
1688418764196,137500,4079
1688418765218,125000,4079
1688418766232,220000,4079
1688418767245,185312,4079
1688418768255,216562,4079
1688418769279,178125,4079
1688418770304,128437,4079
1688418771318,520000,4079
1688418772334,126562,4079
1688418773348,120312,4079
1688418774365,360625,4079
1688418775387,219687,4079
1688418776403,209375,4079
1688418777413,186875,4079
1688418778429,194062,4079
1688418779442,218437,4079
1688418780452,151250,4079
1688418781461,115625,4079
1688418782477,131250,4079
1688418783500,115000,4079
1688418784513,140937,4079
1688418785528,167500,4079
1688418786544,193125,4079
1688418787557,201562,4079
1688418788573,107812,4079
1688418789589,147812,4079
